pickup_latitude,pickup_longitude,dropoff_latitude,dropoff_longitude,pickup_date,dropoff_date,trip_duration
9.4268316,-0.9273208,,,22-01-20,23-01-20,0
9.4268316,-0.9273208,,,22-01-20,23-01-20,0
9.4113281,-0.8507274,9.4268316,-0.9273208,22-01-20,23-01-20,300
9.4113281,-0.8507274,9.4268316,-0.9273208,23-01-20,24-01-20,1860
9.4156931,-0.8511785,9.4268316,-0.9273208,23-01-20,24-01-20,960
9.4268316,-0.9273208,9.4268316,-0.9273208,23-01-20,24-01-20,4440
9.4113281,-0.8507274,9.4268316,-0.9273208,23-01-20,24-01-20,600
9.4268316,-0.9273208,9.4113281,-0.8507274,23-01-20,24-01-20,780
9.4113281,-0.8507274,9.4268316,-0.9273208,23-01-20,24-01-20,300
9.4042908,-0.8442716,9.3963162,-0.8320596,23-01-20,24-01-20,1260
9.4052297,-0.8441497,,,23-01-20,24-01-20,0
9.4042908,-0.8442716,9.4040516,-0.8544244,23-01-20,24-01-20,1380
9.3757859,-0.8877361,9.4046122,-0.8626149,23-01-20,24-01-20,660
9.4268316,-0.9273208,9.4113281,-0.8507274,23-01-20,24-01-20,180
9.4113281,-0.8507274,9.4113281,-0.8507274,23-01-20,24-01-20,180
9.4113281,-0.8507274,9.3930136,-0.8256698,23-01-20,24-01-20,300
9.4268316,-0.9273208,9.4035604,-0.9124443,23-01-20,24-01-20,1500
9.4268316,-0.9273208,9.3757859,-0.8877361,23-01-20,24-01-20,720
9.3757859,-0.8877361,9.4113281,-0.8507274,23-01-20,24-01-20,1320
9.4113281,0.8507274,9.4268316,-0.9273208,23-01-20,24-01-20,1980
9.4268316,-0.9273208,9.4040375,-0.8414422,23-01-20,24-01-20,1920
9.4166904,-0.8445552,9.3963162,-0.8320596,23-01-20,24-01-20,360
9.4042908,-0.8442716,9.4113281,-0.8507274,23-01-20,24-01-20,300
9.4113281,-0.8507274,9.4113281,-0.8507274,23-01-20,24-01-20,360
9.4268316,-0.9273208,,,23-01-20,24-01-20,0
9.4268316,-0.9273208,,,24-01-20,25-01-20,0
9.4113281,-0.8507274,9.3930136,-0.8256698,24-01-20,25-01-20,420
9.4268316,-0.9273208,9.4268316,-0.9273208,24-01-20,25-01-20,420
9.4268316,-0.9273208,9.4113281,-0.8507274,24-01-20,25-01-20,840
9.4113281,-0.8507274,9.4268316,-0.9273208,24-01-20,25-01-20,600
9.4320961,-0.8703527,9.4147764,-0.8607925,24-01-20,25-01-20,1440
9.4046122,-0.8626149,9.4268316,-0.9273208,24-01-20,25-01-20,840
9.4268316,-0.9273208,9.4268316,-0.9273208,24-01-20,25-01-20,1740
9.4268316,-0.9273208,9.4268316,-0.9273208,24-01-20,25-01-20,60
9.4268316,-0.9273208,9.4113281,-0.8507274,24-01-20,25-01-20,540
9.4113281,-0.8507274,9.4268316,-0.9273208,24-01-20,25-01-20,960
9.4113281,-0.8507274,9.3999192,-0.8360828,24-01-20,25-01-20,540
9.3930136,-0.8256698,9.3999192,-0.8360828,24-01-2020 14:001,25-01-20,420
9.3999192,-0.8360828,9.3963162,-0.8320596,24-01-20,25-01-20,300
9.2033966,-0.6102537,9.4268316,-0.9273208,24-01-20,25-01-20,720
9.4268316,-0.9273208,9.4268316,-0.9273208,24-01-20,25-01-20,2880
9.4268316,-0.9273208,9.4268316,-0.9273208,24-01-20,25-01-20,540
9.4268316,-0.9273208,9.4113281,-0.8507274,24-01-20,25-01-20,480
9.4113281,-0.8507274,9.4113281,-0.8507274,24-01-20,25-01-20,960
9.4113281,-0.8507274,9.2878334,-1.5918455,24-01-20,25-01-20,1440
9.4241691,-0.8709455,9.4113281,-0.8507274,24-01-20,25-01-20,360
9.4268316,-0.9273208,9.2878334,-1.5918455,25-01-20,26-01-20,0
9.4113281,-0.8507274,9.2878334,-1.5918455,25-01-20,26-01-20,360
9.401058,-0.8502767,9.3917514,-0.8461383,25-01-20,26-01-20,3000
9.3917461,-0.8461383,,,25-01-20,26-01-20,0
9.3917461,-0.8461383,9.3963162,-0.8320596,25-01-20,26-01-20,120
9.4268316,-0.9273208,9.4268316,-0.9273208,25-01-20,26-01-20,600
9.4268316,-0.9273208,9.4268316,-0.9273208,25-01-20,26-01-20,2340
9.4268316,-0.9273208,9.4113281,-0.8507274,25-01-20,26-01-20,720
9.4113281,-0.8507274,9.3930136,-0.8256698,25-01-20,26-01-20,540
9.3797765,-0.8725062,9.4035604,-0.9124443,25-01-20,26-01-20,3840
9.3909352,-0.818534,8.4714366,-2.5413688,25-01-20,26-01-20,660
8.4714366,-2.5413688,9.3757859,-0.8877361,25-01-20,26-01-20,300
9.3757859,-0.8877361,9.3930136,-0.8256698,25-01-20,26-01-20,2280
9.4268316,-0.9273208,9.3999192,-0.8360828,25-01-20,26-01-20,180
9.3930136,-0.8256698,9.4268316,-0.9273208,25-01-20,26-01-20,360
9.4268316,-0.9273208,9.4268316,-0.9273208,25-01-20,26-01-20,360
9.4268316,-0.9273208,9.4268316,-0.9273208,25-01-20,26-01-20,600
9.4268316,-0.9273208,9.4268316,-0.9273208,25-01-20,26-01-20,420
9.4268316,-0.9273208,9.4113281,-0.8507274,25-01-20,26-01-20,660
9.4113281,-0.8507274,9.4268316,-0.9273208,25-01-20,26-01-20,180
9.4268316,-0.9273208,9.4268316,-0.9273208,25-01-20,26-01-20,300
9.4052297,-0.8441497,9.4268316,-0.9273208,25-01-20,26-01-20,2940
9.4268316,-0.9273208,9.4113281,-0.8507274,25-01-20,26-01-20,240
9.4113281,-0.8507274,,,25-01-20,26-01-20,0
9.4268316,-0.9273208,9.4113281,-0.8507274,25-01-20,26-01-20,780
9.4268316,-0.9273208,9.3355994,-2.2296943,25-01-20,26-01-20,1920
9.3757859,-0.8877361,9.4113281,-0.8507274,25-01-20,26-01-20,1800
9.4268316,-0.9273208,,,26-01-20,27-01-20,0
9.4113281,-0.8507274,9.2878334,-1.5918455,26-01-20,27-01-20,360
9.4268316,-0.9273208,9.4241744,-0.8709455,26-01-20,27-01-20,1320
9.4215635,-0.8641348,9.4113281,-0.8507274,26-01-20,27-01-20,420
9.4113281,-0.8507274,9.4268316,-0.9273208,26-01-20,27-01-20,1380
9.4268316,-0.9273208,9.3930083,-0.8253528,26-01-20,27-01-20,420
9.4268316,-0.9273208,9.3355994,-2.2296943,26-01-20,27-01-20,2280
9.3328869,-2.2297566,9.4113281,-0.8507274,26-01-20,27-01-20,780
9.4268316,-0.9273208,9.4268316,-0.9273208,26-01-20,27-01-20,960
9.4268316,-0.9273208,9.4268316,-0.9273208,26-01-20,27-01-20,900
9.4268316,-0.9273208,9.4113281,-0.8507274,26-01-20,27-01-20,240
9.4156931,-0.8511785,9.4268316,-0.9273208,26-01-20,27-01-20,3180
9.4268316,-0.9273208,9.4268316,-0.9273208,26-01-20,27-01-20,2280
9.4268316,-0.9273208,9.4268316,-0.9273208,26-01-20,27-01-20,1080
9.4054068,-0.8436722,9.4113281,-0.8507274,26-01-20,27-01-20,360
9.4113281,-0.8507274,9.4268316,-0.9273208,26-01-20,27-01-20,2280
9.4320908,-0.8703527,9.4268316,-0.9273208,26-01-20,27-01-20,360
9.4268316,-0.9273208,9.4113281,-0.8507274,26-01-20,27-01-20,420
9.4113281,-0.8507274,9.3757859,-0.8877361,27-01-20,28-01-20,39500
9.3757859,-0.8877361,9.4046122,-0.8626149,27-01-20,28-01-20,2700
5.6009766,-0.2758521,9.4268316,-0.9273208,27-01-20,28-01-20,1020
9.4268316,-0.9273208,9.4035604,-0.9124443,27-01-20,28-01-20,780
9.4035604,-0.9124443,9.4268316,-0.9273208,27-01-20,28-01-20,900
